# RLC circuit analytic TF with f_res = 1.0 GHz, Q = 1000
#        Freq [GHz]     vRe []     vIm []
          0.9735    0.00032256342     -0.017957154
           0.974    0.00033480248     -0.018294545
          0.9745    0.00034774445     -0.018644665
           0.975    0.00036144409     -0.019008247
          0.9755    0.00037596155     -0.019386083
           0.976    0.00039136308     -0.019779027
          0.9765    0.00040772178     -0.020188005
           0.977    0.00042511842     -0.020614017
          0.9775    0.00044364252      -0.02105815
           0.978    0.00046339339     -0.021521586
          0.9785    0.00048448156     -0.022005609
           0.979    0.00050703026     -0.022511623
          0.9795    0.00053117723     -0.023041161
            0.98    0.00055707683       -0.0235959
          0.9805    0.00058490248     -0.024177683
           0.981     0.0006148496     -0.024788537
          0.9815    0.00064713898     -0.025430694
           0.982    0.00068202089     -0.026106622
          0.9825     0.0007197799     -0.026819057
           0.983     0.0007607407     -0.027571035
          0.9835    0.00080527503      -0.02836594
           0.984    0.00085381016     -0.029207553
          0.9845    0.00090683911     -0.030100112
           0.985    0.00096493317     -0.031048383
          0.9855     0.0010287573     -0.032057744
           0.986     0.0010990891     -0.033134289
          0.9865     0.0011768427     -0.034284949
           0.987     0.0012630983     -0.035517641
          0.9875     0.0013591396     -0.036841449
           0.988     0.0014665023     -0.038266848
          0.9885     0.0015870346     -0.039805979
           0.989     0.0017229781     -0.041472996
          0.9895     0.0018770712     -0.043284498
            0.99     0.0020526883     -0.045260079
          0.9905     0.0022540249     -0.047423035
           0.991     0.0024863496     -0.049801282
          0.9915     0.0027563504     -0.052428551
           0.992     0.0030726189     -0.055345984
          0.9925     0.0034463391     -0.058604282
           0.993     0.0038922838     -0.062266635
          0.9935     0.0044302879     -0.066412804
           0.994     0.0050874786     -0.071144896
          0.9945     0.0059017366     -0.076595732
           0.995     0.0069272342      -0.08294123
          0.9955     0.0082435981     -0.090419252
           0.996     0.0099716742     -0.099359146
          0.9965      0.012301922      -0.11022969
           0.997       0.01554839      -0.12371999
          0.9975      0.020258213      -0.14088228
           0.998      0.027452071      -0.16339662
          0.9985      0.039207091      -0.19408734
