#============================================================================================
#Generated by: Timothy Wendler
#ANSOFT                                                                              10/05/19
#Coupled e-Dipole TF (10mm from source)                                              12:12:31
#--------------------------------------------------------------------------------------------
#        Freq [GHz]   sqrt(eReal^2+eImag^2) []              eReal []              eImag []
#                                 Phase='0deg'          Phase='0deg'          Phase='0deg'
24.000000000000000         12.678737999131094    11.686588362989552    -4.916711267163034
24.010000000000002         12.692473690949628    11.671148164829084    -4.988305214204037
24.020000000000000         12.706473266139163    11.655561073402694    -5.059877362870477
24.030000000000001         12.720643464446701    11.639727367137755    -5.131424458011138
24.039999999999999         12.734792856616972    11.623438706749656    -5.202943564116040
24.050000000000001         12.748922787771104    11.606696539878328    -5.274431502989282
24.059999999999999         12.763032841943868    11.589500580641436    -5.345884736491200
24.070000000000000         12.777123277715566    11.571850909167569    -5.417300599924161
24.079999999999998         12.791193751998417    11.553747201874879    -5.488675905565179
24.090000000000000         12.805245661338603    11.535190882331529    -5.560007891667662
24.100000000000001         12.819277080184095    11.516180249577562    -5.631292686210950
24.109999999999999         12.833289172488188    11.496716377294081    -5.702527818850216
24.120000000000001         12.847280959950556    11.476798532848228    -5.773709682718800
24.129999999999999         12.861253788307724    11.456428092942657    -5.844835699871647
24.140000000000001         12.875206195001663    11.435604050586889    -5.915901838435954
24.149999999999999         12.889139403035378    11.414327008812204    -5.986906837990670
24.160000000000000         12.903051981510449    11.392596981951488    -6.057844867970009
24.170000000000002         12.916945661381170    11.370414861989939    -6.128715288322026
24.180000000000000         12.930819807431396    11.347780888295254    -6.199513674757163
24.190000000000001         12.944675060028729    11.324695447526873    -6.270238068087519
24.199999999999999         12.958508875125089    11.301156876869610    -6.340883653803972
24.210000000000001         12.972323857048243    11.277167551943904    -6.411448998278511
24.219999999999999         12.986118706745801    11.252727244399550    -6.481929390917595
24.230000000000000         12.999894437459004    11.227836309194512    -6.552323801447157
24.239999999999998         13.013650792836122    11.202495993773892    -6.622627157508123
24.250000000000000         13.027386404583993    11.176704609144485    -6.692837261899342
24.260000000000002         13.041104016837791    11.150465429112042    -6.762951625744482
24.270000000000000         13.054801230294903    11.123776677878674    -6.832966236064087
24.280000000000001         13.068478677083695    11.096639352494000    -6.902878386156948
24.289999999999999         13.082137450286378    11.069055054385590    -6.972685312787764
24.300000000000001         13.095776530463564    11.041023326893578    -7.042383604351025
24.309999999999999         13.109395835192792    11.012544753570198    -7.111969995323632
24.320000000000000         13.122995758690502    10.983619902281685    -7.181442161906658
24.329999999999998         13.136576724287334    10.954250465107023    -7.250796148064729
24.340000000000000         13.150138196509904    10.924435810202565    -7.320029837102616
24.350000000000001         13.163680284780163    10.894176972628289    -7.389139782746398
24.359999999999999         13.177203189886603    10.863474784573823    -7.458123055600946
24.370000000000001         13.190706647240647    10.832329950003109    -7.526976133071252
24.379999999999999         13.204191296388963    10.800743138013219    -7.595697167363532
24.390000000000001         13.217656751066471    10.768715310813194    -7.664282128397319
24.399999999999999         13.231104058345865    10.736247649091585    -7.732729209027808
24.410000000000000         13.244530908980824    10.703339332112431    -7.801033658471382
24.420000000000002         13.257939179279841    10.669992664830435    -7.869193593624961
24.430000000000000         13.271329136126877    10.636208410408955    -7.937206541961471
24.440000000000001         13.284700037648454    10.601987002951667    -8.005068811668066
24.449999999999999         13.298052029050767    10.567329325606915    -8.072777631739237
24.460000000000001         13.311385329321382    10.532237082760968    -8.140329318779877
24.469999999999999         13.324701059037569    10.496710699766433    -8.207723362670418
24.480000000000000         13.337996584884749    10.460750043123706    -8.274953862933895
24.489999999999998         13.351274950228971    10.424358112238060    -8.342020183650250
24.500000000000000         13.364533817936630    10.387534398210676    -8.408917486618705
24.510000000000002         13.377774776803712    10.350280752434925    -8.475644301447575
24.520000000000000         13.390997719245869    10.312597505423888    -8.542198347496566
24.530000000000001         13.404202514418605    10.274486958532250    -8.608574956779824
24.539999999999999         13.417389192773369    10.235949216717270    -8.674772411028240
24.550000000000001         13.430557601511811    10.196985200428216    -8.740787739659089
24.559999999999999         13.443708133909665    10.157596573397017    -8.806617979784411
24.570000000000000         13.456841387417718    10.117784961880517    -8.872260568269109
24.579999999999998         13.469956725549597    10.077550946690227    -8.937712297061353
24.590000000000000         13.483053915057411    10.036894863662100    -9.002970863672630
24.600000000000001         13.496134533020118     9.995819995886414    -9.068033411011204
24.609999999999999         13.509196338144514     9.954325549205048    -9.132895957087259
24.620000000000001         13.522241350777749     9.912413964848634    -9.197557313665268
24.629999999999999         13.535269851916942     9.870086448913700    -9.262015086102043
24.640000000000001         13.548280779240967     9.827344302413566    -9.326264849068455
24.649999999999999         13.561274163288005     9.784187983496057    -9.390304704080382
24.660000000000000         13.574251046889493     9.740620055966833    -9.454132028339631
24.670000000000002         13.587211305125457     9.696641096777851    -9.517744611535228
24.680000000000000         13.600155614674872     9.652253348907527    -9.581139704224958
24.690000000000001         13.613082300228507     9.607457127987953    -9.644313207619719
24.699999999999999         13.625992975113027     9.562254181429600    -9.707264265876443
24.710000000000001         13.638886389090196     9.516645989826952    -9.769988282430045
24.719999999999999         13.651764743198083     9.470634376696982    -9.832485194830024
24.730000000000000         13.664626755695254     9.424220424693296    -9.894750818451989
24.739999999999998         13.677472670627141     9.377405672963000    -9.956782688219809
24.750000000000000         13.690303788751134     9.330192623107484   -10.018578913399061
24.760000000000002         13.703117735054082     9.282580288694898   -10.080135854475706
24.770000000000000         13.715916644236774     9.234572577902393   -10.141451508295278
24.780000000000001         13.728700535884704     9.186170623008909   -10.202523594139299
24.789999999999999         13.741469010006968     9.137375558911044   -10.263349280249454
