#=========================================================================================#===
#ANSOFT                                                                              #03/24/20
#Uncoupled Dipole Transfer Function (10mm)                                           #11:44:38
#
#-----------------------------------------------------------------------------------------#---
#        Freq [GHz]                eRe []                 eIm []
#                            Phase='0deg'           Phase='0deg'
24.000000000000000    51.526985452427674    135.429837686907206
24.010000000000002    52.380255049655759    135.119325612884950
24.020000000000000    53.231500246249020    134.803445462499951
24.030000000000001    54.080689905514674    134.482195694514274
24.039999999999999    54.927784473382999    134.155570551751850
24.050000000000001    55.773821532379124    133.823622432334361
24.059999999999999    56.618233139652503    133.486343084420241
24.070000000000000    57.460463497714166    133.143758190813799
24.079999999999998    58.300473583575140    132.795879799579581
24.090000000000000    59.138239152936691    132.442710552049704
24.100000000000001    59.973717308964183    132.084277844250579
24.109999999999999    60.806889601102327    131.720596294266727
24.120000000000001    61.637715676327495    131.351673877287169
24.129999999999999    62.466164228760412    130.977539391312035
24.140000000000001    63.292209788211274    130.598193378049842
24.149999999999999    64.115811792231540    130.213661747504432
24.160000000000000    64.936948919778175    129.823950449516872
24.170000000000002    65.755582157483516    129.429089314685029
24.180000000000000    66.571688360642511    129.029078339074374
24.190000000000001    67.385223742080342    128.623960888749565
24.199999999999999    68.196167566217824    128.213715930808632
24.210000000000001    69.004490194745586    127.798389061609186
24.219999999999999    69.810153042525798    127.377991831672986
24.230000000000000    70.613133374226564    126.952532548314721
24.239999999999998    71.413395349755135    126.522039692618776
24.250000000000000    72.210910065379963    126.086511064999200
24.260000000000002    73.005647011238636    125.645996469132797
24.270000000000000    73.797575128745123    125.200480042960493
24.280000000000001    74.586677856646176    124.750007019887434
24.289999999999999    75.372900287127990    124.294576166369637
24.300000000000001    76.156225628617989    123.834210397615081
24.309999999999999    76.936627267706129    123.368922298987087
24.320000000000000    77.714073193834636    122.898751193355906
24.329999999999998    78.488529404555393    122.423711300894439
24.340000000000000    79.259971498659780    121.943799472218387
24.350000000000001    80.028368870742938    121.459048891665219
24.359999999999999    80.793684912924505    120.969485092681239
24.370000000000001    81.555899822028962    120.475121737165026
24.379999999999999    82.314984138370093    119.975968529016654
24.390000000000001    83.070910528185266    119.472058687687252
24.399999999999999    83.823639700862103    118.963407309539619
24.410000000000000    84.573149003042133    118.450037239325042
24.420000000000002    85.319411855407893    117.931958785478088
24.430000000000000    86.062396013438729    117.409209564182390
24.440000000000001    86.802077145084212    116.881786959942360
24.449999999999999    87.538418177154568    116.349731409381477
24.460000000000001    88.271402940612006    115.813059964504234
24.469999999999999    89.000995364170890    115.271789573104428
24.480000000000000    89.727173877724709    114.725937867417301
24.489999999999998    90.449896423167715    114.175526720533242
24.500000000000000    91.169152808421771    113.620589265071388
24.510000000000002    91.884909286288462    113.061131588903621
24.520000000000000    92.597137008121720    112.497193486509573
24.530000000000001    93.305807627846619    111.928773030976458
24.539999999999999    94.010883642978186    111.355913884133159
24.550000000000001    94.712356796302856    110.778626152530592
24.559999999999999    95.410198327028041    110.196938249094003
24.570000000000000    96.104367374248980    109.610860994717882
24.579999999999998    96.794840822209196    109.020434714541068
24.590000000000000    97.481602746021949    108.425666455786597
24.600000000000001    98.164611607026259    107.826595354321839
24.609999999999999    98.843861826782160    107.223232495125785
24.620000000000001    99.519302516463313    106.615600552808345
24.629999999999999   100.190924425359611    106.003728202177598
24.640000000000001   100.858691961713944    105.387639038659444
24.649999999999999   101.522584637129157    104.767354177894845
24.660000000000000   102.182571940732359    104.142898963992991
24.670000000000002   102.838632351161863    103.514290160156420
24.680000000000000   103.490735581840980    102.881564302795312
24.690000000000001   104.138868897537648    102.244739592328614
24.699999999999999   104.782996030510034    101.603842104490724
24.710000000000001   105.423092916739790    100.958888658954677
24.719999999999999   106.059129938677401    100.309916847097981
24.730000000000000   106.691090689369091     99.656946144003570
24.739999999999998   107.318945391405478     98.999994369943849
24.750000000000000   107.942664446052362     98.339098146116640
24.760000000000002   108.562241873555337     97.674281876979080
24.770000000000000   109.177628896201398     97.005550858833956
24.780000000000001   109.788819329075423     96.332966775052526
24.789999999999999   110.395777326686158     95.656527143054774
24.800000000000001   110.998490255148639     94.976270243010703
24.809999999999999   111.596927933688988     94.292209396665015
24.820000000000000   112.191065935900696     93.604384122900171
24.829999999999998   112.780876644478326     92.912815995201797
24.840000000000000   113.366350486916048     92.217539231228542
24.850000000000001   113.947451409358180     91.518567205898222
24.859999999999999   114.524156182261549     90.815935458746381
24.870000000000001   115.096447509140319     90.109669383405773
24.879999999999999   115.664299968792307     89.399789687154353
24.890000000000001   116.227693068616873     88.686338396509385
24.899999999999999   116.786597988912774     87.969331047986458
24.910000000000000   117.341001684109642     87.248795958308051
24.920000000000002   117.890875991042790     86.524758936895452
24.930000000000000   118.436203701827083     85.797266704621663
24.940000000000001   118.976952658998059     85.066311656970413
24.949999999999999   119.513103473733523     84.331958239821901
24.960000000000001   120.044646026358222     83.594213237821464
24.969999999999999   120.571551100963461     82.853120836170149
24.980000000000000   121.093789251746301     82.108689386456660
24.989999999999998   121.611350849419892     81.360965922801213
25.000000000000000   122.124214797633229     80.609970247797378
25.010000000000002   122.632347560197033     79.855734994453911
25.020000000000000   123.135746196740300     79.098276730400016
25.030000000000001   123.634379684751025     78.337644355727875
25.039999999999999   124.128214070641107     77.573863225434465
25.050000000000001   124.617259193938011     76.806948547080182
25.059999999999999   125.101473331233194     76.036945399712138
25.070000000000000   125.580849117097472     75.263877797257749
25.079999999999998   126.055353157712617     74.487767055473626
25.090000000000000   126.524980036729090     73.708671335093428
25.100000000000001   126.989693697939117     72.926586773336723
