#============================================================================================
#ANSOFT                                                                              01/17/20
#MaG Dipole 12mm TF                                                                  21:51:40
#
#--------------------------------------------------------------------------------------------
#        Freq [GHz]                eRe []                eIm []
#                            Phase='0deg'          Phase='0deg'
24.000000000000000    21.410329683809692    -5.761277489980754
24.010000000000002    21.392641574375737    -5.894604983318974
24.020000000000000    21.374128333977811    -6.027963465517937
24.030000000000001    21.354795061423467    -6.161347748070968
24.039999999999999    21.334633948171984    -6.294752286373947
24.050000000000001    21.313645761509207    -6.428172873003769
24.059999999999999    21.291830669620744    -6.561604091884843
24.070000000000000    21.269186032271296    -6.695041064786584
24.079999999999998    21.245709813408279    -6.828477517833381
24.090000000000000    21.221402853933988    -6.961910137766983
24.100000000000001    21.196264168634674    -7.095332595365919
24.109999999999999    21.170289970185809    -7.228740301781551
24.120000000000001    21.143482576125528    -7.362126780572306
24.129999999999999    21.115837270167194    -7.495489143171659
24.140000000000001    21.087355324842203    -7.628820337272220
24.149999999999999    21.058035845012569    -7.762116068304156
24.160000000000000    21.027877522043887    -7.895369081363013
24.170000000000002    20.996879723776331    -8.028577267712842
24.180000000000000    20.965040501863985    -8.161732584447069
24.190000000000001    20.932359507430494    -8.294831542721035
24.199999999999999    20.898837178790178    -8.427866795381492
24.210000000000001    20.864470289642931    -8.560836320337010
24.219999999999999    20.829259168085645    -8.693731110102393
24.230000000000000    20.793204781405962    -8.826548089645005
24.239999999999998    20.756304605029175    -8.959279593011235
24.250000000000000    20.718559128325786    -9.091923630461404
24.260000000000002    20.679966518227975    -9.224471723683001
24.270000000000000    20.640526835052718    -9.356920719826663
24.280000000000001    20.600240783849642    -9.489263245091161
24.289999999999999    20.559105235572826    -9.621493957851328
24.300000000000001    20.517122412660264    -9.753608369464811
24.309999999999999    20.474289856221191    -9.885602162674985
24.320000000000000    20.430607955129037   -10.017466605903875
24.329999999999998    20.386076838903005   -10.149197310089138
24.340000000000000    20.340696587846235   -10.280790023582695
24.350000000000001    20.294465549416760   -10.412238133673847
24.359999999999999    20.247385208160914   -10.543536956886001
24.370000000000001    20.199453326195400   -10.674679105363644
24.379999999999999    20.150671014993002   -10.805661082590843
24.390000000000001    20.101038012898631   -10.936475961886231
24.399999999999999    20.050553890127357   -11.067119061937550
24.410000000000000    19.999220504254346   -11.197583476129592
24.420000000000002    19.947035971164528   -11.327864526820131
24.430000000000000    19.893999284574871   -11.457955979378154
24.440000000000001    19.840115564209988   -11.587852723013889
24.449999999999999    19.785379320296361   -11.717548107122484
24.460000000000001    19.729792957325621   -11.847039592391532
24.469999999999999    19.673357226620727   -11.976316746689987
24.480000000000000    19.616071593387968   -12.105377738287798
24.489999999999998    19.557936663997278   -12.234214629804217
24.500000000000000    19.498953005796995   -12.362822703299486
24.510000000000002    19.439121392887788   -12.491195718509760
24.520000000000000    19.378441412302021   -12.619327962559431
24.530000000000001    19.316914561787062   -12.747215026926858
24.539999999999999    19.254540034756666   -12.874849759057392
24.550000000000001    19.191318560807808   -13.002226881996380
24.559999999999999    19.127251529150065   -13.129339572067616
24.570000000000000    19.062340385337716   -13.256184717955385
24.579999999999998    18.996583789092117   -13.382753591885507
24.590000000000000    18.929984065096388   -13.509042417219439
24.600000000000001    18.862540860716784   -13.635045413028509
24.609999999999999    18.794256083567674   -13.760755423650554
24.620000000000001    18.725130364414134   -13.886167212448282
24.629999999999999    18.655164304795090   -14.011275379130064
24.640000000000001    18.584358348836798   -14.136075091550989
24.649999999999999    18.512714070858578   -14.260559145914645
24.660000000000000    18.440233920839894   -14.384721742056479
24.670000000000002    18.366916315187819   -14.508558821748032
24.680000000000000    18.292763928984293   -14.632061617730667
24.690000000000001    18.217778118437202   -14.755226298610708
24.699999999999999    18.141959686604430   -14.878048641194660
24.710000000000001    18.065309629007970   -15.000519043049788
24.719999999999999    17.987829084715830   -15.122634548463514
24.730000000000000    17.909520229352999   -15.244389043122313
24.739999999999998    17.830385073742534   -15.365777260841625
24.750000000000000    17.750422323382825   -15.486789896208199
24.760000000000002    17.669636679556280   -15.607426638405432
24.770000000000000    17.588026709370624   -15.727677449377943
24.780000000000001    17.505597428496163   -15.847538512578307
24.789999999999999    17.422347337306515   -15.967003608414153
24.800000000000001    17.338279820582784   -16.086067821767845
24.809999999999999    17.253395499106364   -16.204723101332782
24.820000000000000    17.167696169838486   -16.322966047777392
24.829999999999998    17.081185560748512   -16.440790866082942
24.840000000000000    16.993863429193709   -16.558191791390048
24.850000000000001    16.905732165871175   -16.675161693111601
24.859999999999999    16.816795341109117   -16.791694869035627
24.870000000000001    16.727051267175398   -16.907786278291283
24.879999999999999    16.636504756278732   -17.023431482526366
24.890000000000001    16.545157232417065   -17.138623380025191
24.899999999999999    16.453010364417985   -17.253356390381814
24.910000000000000    16.360065376675433   -17.367625020605573
24.920000000000002    16.266327981830070   -17.481424192627181
24.930000000000000    16.171798377884063   -17.594748408560140
24.940000000000001    16.076477318985603   -17.707591134943463
24.949999999999999    15.980369479166278   -17.819944814062005
24.960000000000001    15.883475787677762   -17.931808352634661
24.969999999999999    15.785798410861075   -18.043173205884759
24.980000000000000    15.687340815030840   -18.154034104229058
24.989999999999998    15.588105314111314   -18.264385749172813
25.000000000000000    15.488092882370459   -18.374223500009258
25.010000000000002    15.387595067877566   -18.483540366960401
25.020000000000000    15.286546517508032   -18.592331659004554
25.030000000000001    15.184732336729779   -18.700591619102138
25.039999999999999    15.082153875792448   -18.808314422098288
25.050000000000001    14.978812092111777   -18.915494876215604
25.059999999999999    14.874713809492087   -19.022126784761589
25.070000000000000    14.769859165695475   -19.128206320889383
25.079999999999998    14.664252233059578   -19.233727339854134
25.090000000000000    14.557893576259419   -19.338683712818792
25.100000000000001    14.450789548736365   -19.443072523472708
25.109999999999999    14.342939727652704   -19.546884284446840
25.120000000000001    14.234348968107385   -19.650115652014254
25.129999999999999    14.125021495536370   -19.752762548929653
25.140000000000001    14.014958209930219   -19.854817874808358
25.149999999999999    13.904162442241011   -19.956277721244032
25.160000000000000    13.792638793566278   -20.057132841647846
25.170000000000002    13.680389525688701   -20.157383790662841
25.180000000000000    13.567418250331372   -20.257022439762725
25.190000000000001    13.453728170692507   -20.356043720859869
25.199999999999999    13.339322982981484   -20.454440467782270
25.210000000000001    13.224204249980462   -20.552211071708413
25.219999999999999    13.108377932477717   -20.649348764621845
25.230000000000000    12.991845857422240   -20.745847116270284
25.239999999999998    12.874611526793897   -20.841703169578164
25.250000000000000    12.756679855488555   -20.936909710020913
25.260000000000002    12.638052979885657   -21.031462987707975
25.270000000000000    12.518736523051473   -21.125358197434657
25.280000000000001    12.398730241645175   -21.218590662534577
25.289999999999999    12.278041512770391   -21.311152621365096
25.300000000000001    12.156672493189843   -21.403040549907807
25.309999999999999    12.034627114199324   -21.494251077438541
25.320000000000000    11.911909948836460   -21.584775559397478
25.329999999999998    11.788523412087033   -21.674614716897814
25.340000000000000    11.664472031574476   -21.763757169494141
25.350000000000001    11.539760358754798   -21.852202427291186
25.359999999999999    11.414391069323678   -21.939945837756177
25.370000000000001    11.288370202191222   -22.026978034803150
25.379999999999999    11.161700358487892   -22.113299984086311
25.390000000000001    11.034384054000602   -22.198903048574984
25.399999999999999    10.906428572083705   -22.283782833982656
25.410000000000000    10.777835590064978   -22.367936004981296
25.420000000000002    10.648609901303001   -22.451358038401633
25.430000000000000    10.518756308249271   -22.534041910365360
25.440000000000001    10.388279099095200   -22.615985898009484
25.449999999999999    10.257181225125299   -22.697181471499956
25.460000000000001    10.125468487259084   -22.777629166716242
25.469999999999999     9.993144853837292   -22.857318326467755
25.480000000000000     9.860212304598436   -22.936250892158697
25.489999999999998     9.726678405964492   -23.014418968403511
25.500000000000000     9.592547571371750   -23.091816962328934
25.510000000000002     9.457822846807129   -23.168443134249337
25.520000000000000     9.322508458280319   -23.244291204410949
25.530000000000001     9.186609478367487   -23.319355099306840
25.539999999999999     9.050130703538100   -23.393633504120061
25.550000000000001     8.913076942601053   -23.467122120058637
25.559999999999999     8.775451720379296   -23.539813022728449
25.570000000000000     8.637260806223011   -23.611709012137123
25.579999999999998     8.498508147254281   -23.682798186458982
25.590000000000000     8.359198562214713   -23.753080652969611
25.600000000000001     8.219337161209433   -23.822551279431384
25.609999999999999     8.078928862363703   -23.891202951144621
25.620000000000001     7.937977584964901   -23.959037016453799
25.629999999999999     7.796489186693636   -24.026044029102099
25.640000000000001     7.654467266183526   -24.092224398579294
25.649999999999999     7.511917821556563   -24.157570138588614
25.660000000000000     7.368845496858564   -24.222080629262273
25.670000000000002     7.225255345582614   -24.285749826062588
25.680000000000000     7.081150984422984   -24.348575677855209
25.690000000000001     6.936539392363411   -24.410551720228018
25.699999999999999     6.791424915282588   -24.471675514030519
25.710000000000001     6.645812644283606   -24.531941964851192
25.719999999999999     6.499706662706487   -24.591349515538976
25.730000000000000     6.353112853686237   -24.649892386063012
25.739999999999998     6.206037513938043   -24.707568177286586
25.750000000000000     6.058483484700610   -24.764371235386697
25.760000000000002     5.910457380415975   -24.820299404877197
25.770000000000000     5.761964608941589   -24.875350051680613
25.780000000000001     5.613010052673549   -24.929516494425091
25.789999999999999     5.463598392934958   -24.982798049690008
25.800000000000001     5.313735262765884   -25.035189548680492
25.809999999999999     5.163426265799443   -25.086687180621631
25.820000000000000     5.012675936508901   -25.137288548273172
25.829999999999998     4.861491735555934   -25.186989303417459
25.840000000000000     4.709877122862048   -25.235788437293316
25.850000000000001     4.557837293409635   -25.283677348123650
25.859999999999999     4.405379584611995   -25.330657542667950
25.870000000000001     4.252506539317468   -25.376722385283490
25.879999999999999     4.099226567254084   -25.421872900838263
25.890000000000001     3.945543498453184   -25.466101500407721
25.899999999999999     3.791462985827239   -25.509408284724493
25.910000000000000     3.636991728298406   -25.551786768131958
25.920000000000002     3.482133891269953   -25.593233195441673
25.930000000000000     3.326895486205577   -25.633750267633221
25.940000000000001     3.171282615779044   -25.673328203355169
25.949999999999999     3.015300211437523   -25.711971094318507
25.960000000000001     2.858954228126546   -25.749667621254584
25.969999999999999     2.702250662806314   -25.786419257983290
25.980000000000000     2.545195192191739   -25.822223962660068
25.989999999999998     2.387792195108749   -25.857076786240683
26.000000000000000     2.230049828405221   -25.890977655107797
26.010000000000002     2.071971819894927   -25.923917688566700
26.020000000000000     1.913564649031915   -25.955900632314364
