# RLC circuit analytic TF with f_res = 26.0 GHz, Q = 1000
#        Freq [GHz]     vRe []     vIm []
           25.35    0.00036144409     -0.019008247
          25.363    0.00037596155     -0.019386083
          25.376    0.00039136308     -0.019779027
          25.389    0.00040772178     -0.020188005
          25.402    0.00042511842     -0.020614017
          25.415    0.00044364252      -0.02105815
          25.428    0.00046339339     -0.021521586
          25.441    0.00048448156     -0.022005609
          25.454    0.00050703026     -0.022511623
          25.467    0.00053117723     -0.023041161
           25.48    0.00055707683       -0.0235959
          25.493    0.00058490248     -0.024177683
          25.506     0.0006148496     -0.024788537
          25.519    0.00064713898     -0.025430694
          25.532    0.00068202089     -0.026106622
          25.545     0.0007197799     -0.026819057
          25.558     0.0007607407     -0.027571035
          25.571    0.00080527503      -0.02836594
          25.584    0.00085381016     -0.029207553
          25.597    0.00090683911     -0.030100112
           25.61    0.00096493317     -0.031048383
          25.623     0.0010287573     -0.032057744
          25.636     0.0010990891     -0.033134289
          25.649     0.0011768427     -0.034284949
          25.662     0.0012630983     -0.035517641
          25.675     0.0013591396     -0.036841449
          25.688     0.0014665023     -0.038266848
          25.701     0.0015870346     -0.039805979
          25.714     0.0017229781     -0.041472996
          25.727     0.0018770712     -0.043284498
           25.74     0.0020526883     -0.045260079
          25.753     0.0022540249     -0.047423035
          25.766     0.0024863496     -0.049801282
          25.779     0.0027563504     -0.052428551
          25.792     0.0030726189     -0.055345984
          25.805     0.0034463391     -0.058604282
          25.818     0.0038922838     -0.062266635
          25.831     0.0044302879     -0.066412804
          25.844     0.0050874786     -0.071144896
          25.857     0.0059017366     -0.076595732
           25.87     0.0069272342      -0.08294123
          25.883     0.0082435981     -0.090419252
          25.896     0.0099716742     -0.099359146
          25.909      0.012301922      -0.11022969
          25.922       0.01554839      -0.12371999
          25.935      0.020258213      -0.14088228
          25.948      0.027452071      -0.16339662
          25.961      0.039207091      -0.19408734
          25.974      0.060258898      -0.23796589
          25.987       0.10317247      -0.30418401
              26       0.20855411       -0.4062749
          26.013       0.52651477      -0.49929647
          26.026       0.99741124      0.050813958
          26.039         0.475768       0.49941246
          26.052       0.19252603       0.39428386
          26.065      0.097311009        0.2963808
          26.078      0.057651597       0.23308344
          26.091      0.037880411       0.19090701
          26.104      0.026714212        0.1612469
          26.117      0.019823259        0.1393926
           26.13      0.015282685       0.12267487
          26.143      0.012136875        0.1094969
          26.156     0.0098694403      0.098853601
          26.169      0.008182059      0.090083922
          26.182     0.0068928494      0.082736558
          26.195     0.0058858935      0.076493462
          26.208     0.0050845227       0.07112433
          26.221     0.0044364066      0.066458445
          26.234     0.0039048477      0.062366657
          26.247     0.0034635003      0.058749506
           26.26     0.0030930569      0.055529181
          26.273      0.002779109      0.052643951
          26.286     0.0025107283      0.050044226
          26.299     0.0022795053      0.047689718
          26.312     0.0020788841      0.045547364
          26.325     0.0019036928      0.043589778
          26.338     0.0017498074      0.041794085
          26.351      0.001613907       0.04014103
          26.364     0.0014932934      0.038614291
          26.377     0.0013857559      0.037199941
           26.39     0.0012894695      0.035886025
          26.403     0.0012029169      0.034662225
          26.416     0.0011248279      0.033519587
          26.429     0.0010541334      0.032450303
          26.442    0.00098992748      0.031447536
          26.455    0.00093143919      0.030505272
          26.468    0.00087800863      0.029618199
          26.481    0.00082906847      0.028781611
          26.494    0.00078412879      0.027991319
